pathway	category
Transcriptional Regulation by TP53	Gene expression (Transcription)
TP53 Regulates Transcription of Cell Cycle Genes	Gene expression (Transcription)
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	Gene expression (Transcription)
RNA Polymerase II Transcription	Gene expression (Transcription)
Gene expression (Transcription)	Gene expression (Transcription)
Synthesis of active ubiquitin: roles of E1 and E2 enzymes	Metabolism of proteins
Antigen processing: Ubiquitination & Proteasome degradation	Immune System
Class I MHC mediated antigen processing & presentation	Immune System
Metabolism	Metabolism
Glycosphingolipid metabolism	Metabolism
Sphingolipid metabolism	Metabolism
Metabolism of lipids	Metabolism
PPARA activates gene expression	Metabolism
Transcriptional regulation of white adipocyte differentiation	Developmental Biology
Regulation of lipid metabolism by PPARalpha	Metabolism
RND2 GTPase cycle	Signal Transduction
L1CAM interactions	Developmental Biology
Axon guidance	Developmental Biology
Recycling pathway of L1	Developmental Biology
Nervous system development	Developmental Biology
Cellular hexose transport	Transport of small molecules
Transport of small molecules	Transport of small molecules
SLC-mediated transmembrane transport	Transport of small molecules
Apoptosis	Programmed Cell Death
Regulation of Apoptosis	Programmed Cell Death
Regulation of PAK-2p34 activity by PS-GAP/RHG10	Programmed Cell Death
Programmed Cell Death	Programmed Cell Death
RHOA GTPase cycle	Signal Transduction
CDC42 GTPase cycle	Signal Transduction
RAC1 GTPase cycle	Signal Transduction
Stimuli-sensing channels	Transport of small molecules
SARS-CoV-2 Infection	Disease
Induction of Cell-Cell Fusion	Disease
Late SARS-CoV-2 Infection Events	Disease
Ion channel transport	Transport of small molecules
Amyloid fiber formation	Metabolism of proteins
NRAGE signals death through JNK	Signal Transduction
p75 NTR receptor-mediated signalling	Signal Transduction
Cell death signalling via NRAGE, NRIF and NADE	Signal Transduction
Signaling by GPCR	Signal Transduction
GPCR downstream signalling	Signal Transduction
G alpha (12/13) signalling events	Signal Transduction
Death Receptor Signaling	Signal Transduction
Meiotic synapsis	Cell Cycle
Reproduction	Reproduction
Meiosis	Cell Cycle
Cell Cycle	Cell Cycle
RHOQ GTPase cycle	Signal Transduction
RHOG GTPase cycle	Signal Transduction
Fatty acyl-CoA biosynthesis	Metabolism
Synthesis of very long-chain fatty acyl-CoAs	Metabolism
Fatty acid metabolism	Metabolism
Scavenging by Class B Receptors	Vesicle-mediated transport
Membrane Trafficking	Vesicle-mediated transport
COPI-dependent Golgi-to-ER retrograde traffic	Vesicle-mediated transport
Intra-Golgi and retrograde Golgi-to-ER traffic	Vesicle-mediated transport
Golgi-to-ER retrograde transport	Vesicle-mediated transport
Lysine catabolism	Metabolism
Metabolism of amino acids and derivatives	Metabolism
tRNA modification in the nucleus and cytosol	Metabolism of RNA
Synthesis of wybutosine at G37 of tRNA(Phe)	Metabolism of RNA
tRNA processing	Metabolism of RNA
Metabolism of RNA	Metabolism of RNA
RAB GEFs exchange GTP for GDP on RABs	Vesicle-mediated transport
Rab regulation of trafficking	Vesicle-mediated transport
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Metabolism of proteins
Asparagine N-linked glycosylation	Metabolism of proteins
Synthesis of substrates in N-glycan biosythesis	Metabolism of proteins
GDP-fucose biosynthesis	Metabolism of proteins
Diseases of glycosylation	Disease
Diseases associated with O-glycosylation of proteins	Disease
Defective B3GALTL causes PpS	Disease
O-linked glycosylation	Metabolism of proteins
O-glycosylation of TSR domain-containing proteins	Metabolism of proteins
Diseases of metabolism	Disease
Olfactory Signaling Pathway	Sensory Perception
Sensory Perception	Sensory Perception
Expression and translocation of olfactory receptors	Sensory Perception
RAB geranylgeranylation	Metabolism of proteins
HDR through Homologous Recombination (HRR)	DNA Repair
DNA Double-Strand Break Repair	DNA Repair
Resolution of D-Loop Structures	DNA Repair
Homology Directed Repair	DNA Repair
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	DNA Repair
Resolution of D-loop Structures through Holliday Junction Intermediates	DNA Repair
Fanconi Anemia Pathway	DNA Repair
DNA Repair	DNA Repair
Sensory processing of sound	Sensory Perception
Sensory processing of sound by inner hair cells of the cochlea	Sensory Perception
Sensory processing of sound by outer hair cells of the cochlea	Sensory Perception
Lipid particle organization	Metabolism
HIV Life Cycle	Disease
Budding and maturation of HIV virion	Disease
Late Phase of HIV Life Cycle	Disease
HIV Infection	Disease
Membrane binding and targetting of GAG proteins	Disease
Synthesis And Processing Of GAG, GAGPOL Polyproteins	Disease
Assembly Of The HIV Virion	Disease
Endosomal Sorting Complex Required For Transport (ESCRT)	Vesicle-mediated transport
HCMV Infection	Disease
HCMV Late Events	Disease
Autophagy	Autophagy
Late endosomal microautophagy	Autophagy
Downstream signaling events of B Cell Receptor (BCR)	Immune System
Activation of NF-kappaB in B cells	Immune System
Cellular response to hypoxia	Cellular responses to stimuli
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Cellular responses to stimuli
ER-Phagosome pathway	Immune System
Antigen processing-Cross presentation	Immune System
Cross-presentation of soluble exogenous antigens (endosomes)	Immune System
PIP3 activates AKT signaling	Signal Transduction
Cytokine Signaling in Immune system	Immune System
Host Interactions of HIV factors	Disease
SCF-beta-TrCP mediated degradation of Emi1	Cell Cycle
APC/C-mediated degradation of cell cycle proteins	Cell Cycle
APC/C:Cdc20 mediated degradation of Securin	Cell Cycle
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	Cell Cycle
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	Cell Cycle
Regulation of APC/C activators between G1/S and early anaphase	Cell Cycle
APC/C:Cdc20 mediated degradation of mitotic proteins	Cell Cycle
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cell Cycle
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	Cell Cycle
Vpu mediated degradation of CD4	Disease
Vif-mediated degradation of APOBEC3G	Disease
Degradation of beta-catenin by the destruction complex	Signal Transduction
Signaling by WNT	Signal Transduction
TCF dependent signaling in response to WNT	Signal Transduction
Regulation of activated PAK-2p34 by proteasome mediated degradation	Programmed Cell Death
Cellular responses to stress	Cellular responses to stimuli
Separation of Sister Chromatids	Cell Cycle
Mitotic Metaphase and Anaphase	Cell Cycle
Autodegradation of the E3 ubiquitin ligase COP1	Cell Cycle
Regulation of ornithine decarboxylase (ODC)	Metabolism
Metabolism of polyamines	Metabolism
Signaling by ROBO receptors	Developmental Biology
ABC-family proteins mediated transport	Transport of small molecules
Beta-catenin independent WNT signaling	Signal Transduction
PCP/CE pathway	Signal Transduction
Interleukin-1 family signaling	Immune System
Signaling by Interleukins	Immune System
AUF1 (hnRNP D0) binds and destabilizes mRNA	Metabolism of RNA
Regulation of mRNA stability by proteins that bind AU-rich elements	Metabolism of RNA
Mitotic G2-G2/M phases	Cell Cycle
Regulation of mitotic cell cycle	Cell Cycle
Asymmetric localization of PCP proteins	Signal Transduction
Degradation of AXIN	Signal Transduction
Degradation of DVL	Signal Transduction
Hedgehog ligand biogenesis	Signal Transduction
Signaling by Hedgehog	Signal Transduction
Hh mutants are degraded by ERAD	Disease
Hh mutants abrogate ligand secretion	Disease
Dectin-1 mediated noncanonical NF-kB signaling	Immune System
CLEC7A (Dectin-1) signaling	Immune System
Degradation of GLI1 by the proteasome	Signal Transduction
Degradation of GLI2 by the proteasome	Signal Transduction
GLI3 is processed to GLI3R by the proteasome	Signal Transduction
Hedgehog 'off' state	Signal Transduction
ABC transporter disorders	Disease
Disorders of transmembrane transporters	Disease
C-type lectin receptors (CLRs)	Immune System
Hedgehog 'on' state	Signal Transduction
Regulation of RAS by GAPs	Signal Transduction
Diseases of signal transduction by growth factor receptors and second messengers	Disease
TNFR2 non-canonical NF-kB pathway	Immune System
RAF/MAP kinase cascade	Signal Transduction
NIK-->noncanonical NF-kB signaling	Immune System
Defective CFTR causes cystic fibrosis	Disease
MAPK family signaling cascades	Signal Transduction
MAPK1/MAPK3 signaling	Signal Transduction
MAPK6/MAPK4 signaling	Signal Transduction
Deubiquitination	Metabolism of proteins
UCH proteinases	Metabolism of proteins
Ub-specific processing proteases	Metabolism of proteins
PTEN Regulation	Signal Transduction
Mitotic Anaphase	Cell Cycle
M Phase	Cell Cycle
Orc1 removal from chromatin	Cell Cycle
CDK-mediated phosphorylation and removal of Cdc6	Cell Cycle
Switching of origins to a post-replicative state	Cell Cycle
Synthesis of DNA	Cell Cycle
S Phase	Cell Cycle
G2/M Transition	Cell Cycle
Cell Cycle, Mitotic	Cell Cycle
DNA Replication	DNA Replication
G2/M Checkpoints	Cell Cycle
Stabilization of p53	Cell Cycle
p53-Dependent G1 DNA Damage Response	Cell Cycle
p53-Dependent G1/S DNA damage checkpoint	Cell Cycle
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	Cell Cycle
p53-Independent DNA Damage Response	Cell Cycle
p53-Independent G1/S DNA damage checkpoint	Cell Cycle
G1/S DNA Damage Checkpoints	Cell Cycle
Cell Cycle Checkpoints	Cell Cycle
Ubiquitin-dependent degradation of Cyclin D	Cell Cycle
The role of GTSE1 in G2/M progression after G2 checkpoint	Cell Cycle
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	Cell Cycle
Transcriptional regulation by RUNX2	Gene expression (Transcription)
Transcriptional regulation by RUNX1	Gene expression (Transcription)
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Gene expression (Transcription)
Regulation of RUNX2 expression and activity	Gene expression (Transcription)
Regulation of PTEN stability and activity	Signal Transduction
Neddylation	Metabolism of proteins
Cellular responses to stimuli	Cellular responses to stimuli
Intracellular signaling by second messengers	Signal Transduction
Regulation of expression of SLITs and ROBOs	Developmental Biology
Interleukin-1 signaling	Immune System
Cellular response to chemical stress	Cellular responses to stimuli
KEAP1-NFE2L2 pathway	Cellular responses to stimuli
G alpha (q) signalling events	Signal Transduction
G alpha (i) signalling events	Signal Transduction
G alpha (z) signalling events	Signal Transduction
Neurotransmitter receptors and postsynaptic signal transmission	Neuronal System
Transmission across Chemical Synapses	Neuronal System
Neuronal System	Neuronal System
Deadenylation-dependent mRNA decay	Metabolism of RNA
Deadenylation of mRNA	Metabolism of RNA
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	Gene expression (Transcription)
Histidine catabolism	Metabolism
RNA Polymerase III Transcription	Gene expression (Transcription)
RNA Polymerase III Abortive And Retractive Initiation	Gene expression (Transcription)
RNA Polymerase III Transcription Initiation	Gene expression (Transcription)
RNA Polymerase III Transcription Initiation From Type 1 Promoter	Gene expression (Transcription)
RNA Polymerase III Transcription Initiation From Type 2 Promoter	Gene expression (Transcription)
RNA Polymerase III Transcription Initiation From Type 3 Promoter	Gene expression (Transcription)
Post-translational modification: synthesis of GPI-anchored proteins	Metabolism of proteins
Glycolysis	Metabolism
Glucose metabolism	Metabolism
Metabolism of carbohydrates	Metabolism
Triglyceride catabolism	Metabolism
Triglyceride metabolism	Metabolism
Transcriptional Regulation by NPAS4	Gene expression (Transcription)
NPAS4 regulates expression of target genes	Gene expression (Transcription)
RHO GTPase Effectors	Signal Transduction
RHO GTPases Activate WASPs and WAVEs	Signal Transduction
Phase II - Conjugation of compounds	Metabolism
Glutathione conjugation	Metabolism
Glutathione synthesis and recycling	Metabolism
Biological oxidations	Metabolism
Aflatoxin activation and detoxification	Metabolism
Drug ADME	Drug ADME
Paracetamol ADME	Drug ADME
Serine biosynthesis	Metabolism
Degradation of the extracellular matrix	Extracellular matrix organization
Extracellular matrix organization	Extracellular matrix organization
Translocation of SLC2A4 (GLUT4) to the plasma membrane	Vesicle-mediated transport
Gap junction trafficking and regulation	Vesicle-mediated transport
Macroautophagy	Autophagy
Gap junction trafficking	Vesicle-mediated transport
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	Vesicle-mediated transport
Gap junction assembly	Vesicle-mediated transport
Transport of connexons to the plasma membrane	Vesicle-mediated transport
ER to Golgi Anterograde Transport	Metabolism of proteins
MHC class II antigen presentation	Immune System
Resolution of Sister Chromatid Cohesion	Cell Cycle
Nuclear Envelope (NE) Reassembly	Cell Cycle
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	Cellular responses to stimuli
Recruitment of NuMA to mitotic centrosomes	Cell Cycle
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	Metabolism of proteins
Formation of tubulin folding intermediates by CCT/TriC	Metabolism of proteins
Post-chaperonin tubulin folding pathway	Metabolism of proteins
Chaperonin-mediated protein folding	Metabolism of proteins
Protein folding	Metabolism of proteins
Post NMDA receptor activation events	Neuronal System
Activation of NMDA receptors and postsynaptic events	Neuronal System
RHO GTPases activate IQGAPs	Signal Transduction
RHO GTPases Activate Formins	Signal Transduction
COPI-mediated anterograde transport	Metabolism of proteins
COPI-independent Golgi-to-ER retrograde traffic	Vesicle-mediated transport
Mitotic Prometaphase	Cell Cycle
Carboxyterminal post-translational modifications of tubulin	Metabolism of proteins
Transport to the Golgi and subsequent modification	Metabolism of proteins
HCMV Early Events	Disease
Assembly and cell surface presentation of NMDA receptors	Neuronal System
Activation of AMPK downstream of NMDARs	Neuronal System
Aggrephagy	Autophagy
EML4 and NUDC in mitotic spindle formation	Cell Cycle
Selective autophagy	Autophagy
Sealing of the nuclear envelope (NE) by ESCRT-III	Cell Cycle
Kinesins	Hemostasis
Factors involved in megakaryocyte development and platelet production	Hemostasis
Amino acids regulate mTORC1	Cellular responses to stimuli
Cellular response to starvation	Cellular responses to stimuli
Gastrulation	Developmental Biology
Formation of paraxial mesoderm	Developmental Biology
RAC2 GTPase cycle	Signal Transduction
RAC3 GTPase cycle	Signal Transduction
Cargo trafficking to the periciliary membrane	Organelle biogenesis and maintenance
Trafficking of myristoylated proteins to the cilium	Organelle biogenesis and maintenance
Glyoxylate metabolism and glycine degradation	Metabolism
DAP12 interactions	Immune System
Collagen degradation	Extracellular matrix organization
Collagen formation	Extracellular matrix organization
Collagen biosynthesis and modifying enzymes	Extracellular matrix organization
Signaling by PDGF	Signal Transduction
Assembly of collagen fibrils and other multimeric structures	Extracellular matrix organization
Integrin cell surface interactions	Extracellular matrix organization
ECM proteoglycans	Extracellular matrix organization
NCAM signaling for neurite out-growth	Developmental Biology
NCAM1 interactions	Developmental Biology
Collagen chain trimerization	Extracellular matrix organization
Signaling by Receptor Tyrosine Kinases	Signal Transduction
RHOB GTPase cycle	Signal Transduction
RHOD GTPase cycle	Signal Transduction
RHOJ GTPase cycle	Signal Transduction
RHOF GTPase cycle	Signal Transduction
Release of Hh-Np from the secreting cell	Signal Transduction
ISG15 antiviral mechanism	Immune System
Antiviral mechanism by IFN-stimulated genes	Immune System
Transport of the SLBP independent Mature mRNA	Metabolism of RNA
Transport of the SLBP Dependant Mature mRNA	Metabolism of RNA
Transport of Mature mRNA Derived from an Intronless Transcript	Metabolism of RNA
Transport of Mature mRNAs Derived from Intronless Transcripts	Metabolism of RNA
Transport of Mature mRNA derived from an Intron-Containing Transcript	Metabolism of RNA
Rev-mediated nuclear export of HIV RNA	Disease
Influenza Infection	Disease
Transport of Ribonucleoproteins into the Host Nucleus	Disease
Influenza Viral RNA Transcription and Replication	Disease
Export of Viral Ribonucleoproteins from Nucleus	Disease
NS1 Mediated Effects on Host Pathways	Disease
Viral Messenger RNA Synthesis	Disease
NEP/NS2 Interacts with the Cellular Export Machinery	Disease
Regulation of Glucokinase by Glucokinase Regulatory Protein	Metabolism
Interactions of Vpr with host cellular proteins	Disease
Interactions of Rev with host cellular proteins	Disease
Nuclear import of Rev protein	Disease
Vpr-mediated nuclear import of PICs	Disease
snRNP Assembly	Metabolism of RNA
Metabolism of non-coding RNA	Metabolism of RNA
Gene Silencing by RNA	Gene expression (Transcription)
Nuclear Envelope Breakdown	Cell Cycle
SUMOylation	Metabolism of proteins
SUMOylation of DNA damage response and repair proteins	Metabolism of proteins
SUMO E3 ligases SUMOylate target proteins	Metabolism of proteins
SUMOylation of ubiquitinylation proteins	Metabolism of proteins
Nuclear Pore Complex (NPC) Disassembly	Cell Cycle
Regulation of HSF1-mediated heat shock response	Cellular responses to stimuli
Cellular response to heat stress	Cellular responses to stimuli
SUMOylation of SUMOylation proteins	Metabolism of proteins
SUMOylation of chromatin organization proteins	Metabolism of proteins
SUMOylation of RNA binding proteins	Metabolism of proteins
SUMOylation of DNA replication proteins	Metabolism of proteins
Transcriptional regulation by small RNAs	Gene expression (Transcription)
SLC transporter disorders	Disease
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	Disease
tRNA processing in the nucleus	Metabolism of RNA
Mitotic Prophase	Cell Cycle
Transport of Mature Transcript to Cytoplasm	Metabolism of RNA
Processing of Capped Intron-Containing Pre-mRNA	Metabolism of RNA
Interferon Signaling	Immune System
SARS-CoV-2 activates/modulates innate and adaptive immune responses	Disease
SARS-CoV-2-host interactions	Disease
Activation of SMO	Signal Transduction
Regulation of PLK1 Activity at G2/M Transition	Cell Cycle
Loss of Nlp from mitotic centrosomes	Cell Cycle
Recruitment of mitotic centrosome proteins and complexes	Cell Cycle
Loss of proteins required for interphase microtubule organization from the centrosome	Cell Cycle
Centrosome maturation	Cell Cycle
Anchoring of the basal body to the plasma membrane	Organelle biogenesis and maintenance
AURKA Activation by TPX2	Cell Cycle
GABA receptor activation	Neuronal System
Signaling by NOTCH	Signal Transduction
Signaling by NOTCH1	Signal Transduction
Signaling by NOTCH2	Signal Transduction
Activated NOTCH1 Transmits Signal to the Nucleus	Signal Transduction
Signaling by NOTCH1 PEST Domain Mutants in Cancer	Disease
Signaling by NOTCH1 in Cancer	Disease
Constitutive Signaling by NOTCH1 PEST Domain Mutants	Disease
Signaling by NOTCH1 HD Domain Mutants in Cancer	Disease
Constitutive Signaling by NOTCH1 HD Domain Mutants	Disease
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Disease
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Disease
NOTCH2 Activation and Transmission of Signal to the Nucleus	Signal Transduction
Signaling by NOTCH3	Signal Transduction
NOTCH3 Activation and Transmission of Signal to the Nucleus	Signal Transduction
Deposition of new CENPA-containing nucleosomes at the centromere	Cell Cycle
Chromosome Maintenance	Cell Cycle
Nucleosome assembly	Cell Cycle
Opioid Signalling	Signal Transduction
G-protein mediated events	Signal Transduction
Adenylate cyclase inhibitory pathway	Neuronal System
Peptide hormone metabolism	Metabolism of proteins
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	Metabolism of proteins
ADP signalling through P2Y purinoceptor 12	Hemostasis
Signal amplification	Hemostasis
Incretin synthesis, secretion, and inactivation	Metabolism of proteins
G alpha (s) signalling events	Signal Transduction
Platelet activation, signaling and aggregation	Hemostasis
ESR-mediated signaling	Signal Transduction
Signaling by Nuclear Receptors	Signal Transduction
Extra-nuclear estrogen signaling	Signal Transduction
GPER1 signaling	Signal Transduction
ADORA2B mediated anti-inflammatory cytokines production	Disease
Sensory perception of taste	Sensory Perception
Sensory perception of sweet, bitter, and umami (glutamate) taste	Sensory Perception
GABA B receptor activation	Neuronal System
Activation of GABAB receptors	Neuronal System
Formation of axial mesoderm	Developmental Biology
BBSome-mediated cargo-targeting to cilium	Organelle biogenesis and maintenance
Beta defensins	Immune System
Defensins	Immune System
Antimicrobial peptides	Immune System
Peroxisomal lipid metabolism	Metabolism
Peroxisomal protein import	Protein localization
Protein localization	Protein localization
Fertilization	Reproduction
Sperm Motility And Taxes	Reproduction
AKT phosphorylates targets in the nucleus	Signal Transduction
PI3K/AKT Signaling in Cancer	Disease
Constitutive Signaling by AKT1 E17K in Cancer	Disease
FOXO-mediated transcription	Gene expression (Transcription)
Regulation of localization of FOXO transcription factors	Gene expression (Transcription)
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	Gene expression (Transcription)
Cytochrome P450 - arranged by substrate type	Metabolism
Phase I - Functionalization of compounds	Metabolism
Endogenous sterols	Metabolism
Xenobiotics	Metabolism
Aryl hydrocarbon receptor signalling	Metabolism
OAS antiviral response	Immune System
RHOV GTPase cycle	Signal Transduction
Neutrophil degranulation	Immune System
Estrogen biosynthesis	Metabolism
Metabolism of steroid hormones	Metabolism
Metabolism of steroids	Metabolism
trans-Golgi Network Vesicle Budding	Vesicle-mediated transport
Lysosome Vesicle Biogenesis	Vesicle-mediated transport
Plasmalogen biosynthesis	Metabolism
Wax and plasmalogen biosynthesis	Metabolism
TYSND1 cleaves peroxisomal proteins	Protein localization
Amplification of signal from the kinetochores	Cell Cycle
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Cell Cycle
Mitotic Spindle Checkpoint	Cell Cycle
Signaling by NTRKs	Signal Transduction
Signaling by NTRK1 (TRKA)	Signal Transduction
Nuclear Events (kinase and transcription factor activation)	Signal Transduction
Regulation of TP53 Activity	Gene expression (Transcription)
Regulation of TP53 Degradation	Gene expression (Transcription)
Regulation of TP53 Expression and Degradation	Gene expression (Transcription)
Transcriptional Regulation by MECP2	Gene expression (Transcription)
NGF-stimulated transcription	Signal Transduction
Metabolism of nucleotides	Metabolism
Pyrimidine salvage	Metabolism
Nucleotide salvage	Metabolism
Class B/2 (Secretin family receptors)	Signal Transduction
GPCR ligand binding	Signal Transduction
mRNA 3'-end processing	Metabolism of RNA
RNA Polymerase II Transcription Termination	Gene expression (Transcription)
Mitochondrial Fatty Acid Beta-Oxidation	Metabolism
Epigenetic regulation of gene expression	Gene expression (Transcription)
Positive epigenetic regulation of rRNA expression	Gene expression (Transcription)
B-WICH complex positively regulates rRNA expression	Gene expression (Transcription)
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	DNA Repair
DNA Double Strand Break Response	DNA Repair
Muscle contraction	Muscle contraction
Cardiac conduction	Muscle contraction
Ion homeostasis	Muscle contraction
Ion transport by P-type ATPases	Transport of small molecules
Interleukin-12 family signaling	Immune System
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	Immune System
Interleukin-12 signaling	Immune System
Potassium Channels	Neuronal System
Tandem pore domain potassium channels	Neuronal System
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)	Neuronal System
Phase 4 - resting membrane potential	Muscle contraction
Interleukin-2 family signaling	Immune System
Disinhibition of SNARE formation	Hemostasis
Response to elevated platelet cytosolic Ca2+	Hemostasis
Lectin pathway of complement activation	Immune System
Ficolins bind to repetitive carbohydrate structures on the target cell surface	Immune System
Platelet degranulation 	Hemostasis
Golgi Associated Vesicle Biogenesis	Vesicle-mediated transport
Signaling by BRAF and RAF1 fusions	Disease
Oncogenic MAPK signaling	Disease
Cytosolic sulfonation of small molecules	Metabolism
Caspase activation via Death Receptors in the presence of ligand	Programmed Cell Death
Toll Like Receptor 4 (TLR4) Cascade	Immune System
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	Immune System
MyD88-independent TLR4 cascade 	Immune System
Toll Like Receptor 9 (TLR9) Cascade	Immune System
Toll Like Receptor TLR1:TLR2 Cascade	Immune System
Toll Like Receptor 7/8 (TLR7/8) Cascade	Immune System
Toll Like Receptor TLR6:TLR2 Cascade	Immune System
Toll-like Receptor Cascades	Immune System
Toll Like Receptor 2 (TLR2) Cascade	Immune System
TRIF-mediated programmed cell death	Immune System
Diseases of Immune System	Disease
Caspase activation via extrinsic apoptotic signalling pathway	Programmed Cell Death
Diseases associated with the TLR signaling cascade	Disease
MyD88 deficiency (TLR2/4)	Disease
IRAK4 deficiency (TLR2/4)	Disease
Regulation of TLR by endogenous ligand	Immune System
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	Immune System
IKK complex recruitment mediated by RIP1	Immune System
TRIF(TICAM1)-mediated TLR4 signaling 	Immune System
TRAF6-mediated induction of TAK1 complex within TLR4 complex	Immune System
Heme signaling	Cellular responses to stimuli
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	Immune System
MyD88 dependent cascade initiated on endosome	Immune System
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	Immune System
The citric acid (TCA) cycle and respiratory electron transport	Metabolism
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Metabolism
Respiratory electron transport	Metabolism
Complex I biogenesis	Metabolism
Glycosaminoglycan metabolism	Metabolism
Hyaluronan metabolism	Metabolism
Hyaluronan biosynthesis and export	Metabolism
Regulation by c-FLIP	Programmed Cell Death
RIPK1-mediated regulated necrosis	Programmed Cell Death
Regulated Necrosis	Programmed Cell Death
CASP8 activity is inhibited	Programmed Cell Death
TP53 Regulates Transcription of Cell Death Genes	Gene expression (Transcription)
Regulation of necroptotic cell death	Programmed Cell Death
TP53 Regulates Transcription of Death Receptors and Ligands	Gene expression (Transcription)
Dimerization of procaspase-8	Programmed Cell Death
TRAIL  signaling	Signal Transduction
Class C/3 (Metabotropic glutamate/pheromone receptors)	Signal Transduction
Class A/1 (Rhodopsin-like receptors)	Signal Transduction
Peptide ligand-binding receptors	Signal Transduction
Autodegradation of Cdh1 by Cdh1:APC/C	Cell Cycle
SCF(Skp2)-mediated degradation of p27/p21	Cell Cycle
Mitotic G1 phase and G1/S transition	Cell Cycle
Assembly of the pre-replicative complex	DNA Replication
DNA Replication Pre-Initiation	DNA Replication
Cyclin E associated events during G1/S transition 	Cell Cycle
