OG	C. elegans	D. melanogaster	H. sapiens	M. musculus	R. norvegicus	S. cerevisiae	X. laevis
2754	uso-1	p115	USO1	Uso1	Uso1	USO1	uso1
2779	egl-45	eIF3-S10	EIF3A	Eif3a	Eif3a	RPG1	eif3a
2781	eif-3.C	eIF3-S8	EIF3C	Eif3c	Eif3c	NIP1	eif3c
2786	eif-3.I	Trip1	EIF3I	Eif3i	Eif3i	TIF34	eif3i
2791	syn-16	Syx16	STX16	Stx16	Stx16	TLG2	LOC100493473
2794	bec-1	Atg6	BECN1	Becn1	Becn1	VPS30	becn1
2809	mbf-1	mbf1	EDF1	Edf1	Edf1	MBF1	edf1
2839	snap-1	Snap	NAPA	Napa	Napa	SEC17	napa
2856	suca-1	skap	SUCLA2	Sucla2	Sucla2	LSC2	sucla2
2897	tag-38	Sply	SGPL1	Sgpl1	Sgpl1	DPL1	sgpl1
2900	CELE_W03F9.1	Zpr1	ZPR1	Zfp259	Zfp259	ZPR1	znf259
2908	aps-1	AP-1sigma	AP1S2	Ap1s2	Ap1s2	APS1	ap1s2
2979	C34F11.3	CG32626	AMPD2	Ampd2	Ampd2	AMD1	ampd2
2983	C55F2.1	CG11089	ATIC	Atic	Atic	ADE17	atic
2985	H28O16.1	blw	ATP5A1	Atp5a1	Atp5a1	ATP1	atp5a1
2986	vha-4	VhaPPA1-1	ATP6V0B	Atp6v0b	Atp6v0b	VMA16	atp6v0b
2991	byn-1	bys	BYSL	Bysl	Bysl	ENP1	bysl
3001	aps-2	AP-2sigma	AP2S1	Ap2s1	Ap2s1	APS2	ap2s1
3020	Y37E3.10	eIF-2alpha	EIF2S1	Eif2s1	Eif2s1	SUI2	eif2s1
3034	crn-1	Fen1	FEN1	Fen1	Fen1	RAD27	fen1
3060	T28D6.6	128up	DRG1	Drg1	Drg1	RBG1	drg1
3074	mel-32	CG3011	SHMT1	Shmt1	Shmt1	SHM2	shmt1
3084	wars-1	Aats-trp	WARS	Wars	Wars	WRS1	wars
3119	vha-9	Vha14-1	ATP6V1F	Atp6v1f	Atp6v1f	VMA7	atp6v1f
3133	eftu-2	CG4849	EFTUD2	Eftud2	Eftud2	SNU114	eftud2
3159	Y52B11C.1	CG4433	PIGL	Pigl	Pigl	GPI12	pigl
3160	mppb-1	CG3731	PMPCB	Pmpcb	Pmpcb	MAS1	pmpcb
3175	abtm-1	ABCB7	ABCB7	Abcb7	Abcb7	ATM1	abcb7
3193	bcs-1	CG4908	BCS1L	Bcs1l	Bcs1l	BCS1	bcs1l
3210	ubc-3	CG7656	UBE2R2	Ube2r2	LOC689226	CDC34	ube2r2
3218	Y71F9AL.17	alphaCop	COPA	Copa	Copa	COP1	copa
3221	CELE_JC8.5	CG31648	COX11	Cox11	Cox11	COX11	LOC100491545
3238	cgh-1	me31B	DDX6	Ddx6	Ddx6	DHH1	ddx6
3275	let-721	Etf-QO	ETFDH	Etfdh	Etfdh	CIR2	etfdh
3279	dpf-2	CG11034	DPP4	Dpp4	Dpp4	DAP2	dpp4
3280	fars-1	CG2263	FARSA	Farsa	Farsa	FRS2	farsa
3304	CELE_Y111B2A.13	TfIIA-S	GTF2A2	Gtf2a2	Gtf2a2	TOA2	gtf2a2
3325	mcm-2	Mcm2	MCM2	Mcm2	Mcm2	MCM2	mcm2
3371	ggtb-1	betaggt-II	RABGGTB	Rabggtb	Rabggtb	BET2	rabggtb
3374	sco-1	Scox	SCO1	Sco1	Sco1	SCO1	LOC100494754
3381	snr-4	SmD2	SNRPD2	Snrpd2	Snrpd2	SMD2	snrpd2
3444	vha-16	VhaAC39-1	ATP6V0D1	Atp6v0d1	Atp6v0d1	VMA6	atp6v0d1
3446	prp-4	U4-U6-60K	PRPF4	Prpf4	Prpf4	PRP4	prpf4
3452	T02H6.1	U3-55K	RRP9	Rrp9	Rrp9	RRP9	rrp9
3475	etf-1	eRF1	ETF1	Etf1	Etf1	SUP45	etf1
3476	T26C5.3	CG9706	SLC33A1	Slc33a1	Slc33a1	YBR220C	slc33a1
3499	CELE_F38E11.5	beta'Cop	COPB2	Copb2	Copb2	SEC27	copb2
3521	C34B2.6	Lon	LONP1	Lonp1	Lonp1	PIM1	LOC100492505
3572	chc-1	Chc	CLTC	Cltc	Cltc	CHC1	cltc
3586	H43I07.2	CG3756	POLR1C	Polr1c	Polr1c	RPC40	polr1c
3597	sec-22	Sec22	SEC22B	Sec22b	Sec22b	SEC22	sec22b
3606	prdx-6	Prx6005	PRDX6	Prdx6	Prdx6	PRX1	prdx6
3623	cdk-5	Cdk5	CDK5	Cdk5	Cdk5	PHO85	cdk5
3709	F21H12.1	Rbbp5	RBBP5	Rbbp5	Rbbp5	SWD1	rbbp5
3780	usp-14	CG5384	USP14	Usp14	Usp14	UBP6	usp14
3792	CELE_Y69A2AR.18	ATPsyn-gamma	ATP5C1	Atp5c1	Atp5c1	ATP3	atp5c1
3795	unc-32	Vha100-1	ATP6V0A1	Atp6v0a1	Atp6v0a1	VPH1	atp6v0a1
3918	W02B12.10	CG4045	METTL1	Mettl1	Mettl1	TRM8	mettl1
3973	ntl-9	Rcd-1	RQCD1	Rqcd1	Rqcd1	CAF40	rqcd1
3974	smc-3	Cap	SMC3	Smc3	Smc3	SMC3	smc3
3981	wdr-46	CG2260	WDR46	Wdr46	Wdr46	UTP7	wdr46
4002	hpo-4	CG4406	PIGK	Pigk	Pigk	GPI8	pigk
4017	unc-101	AP-47	AP1M1	Ap1m1	Ap1m1	APM1	ap1m1
4019	aos-1	Aos1	SAE1	Sae1	Sae1	AOS1	sae1
4037	idha-1	l(1)G0156	IDH3A	Idh3a	Idh3a	IDH2	idh3a
4053	kars-1	Aats-lys	KARS	Kars	Kars	KRS1	kars
4083	mre-11	mre11	MRE11A	Mre11a	Mre11a	MRE11	mre11a
4160	fars-3	CG5706	FARSB	Farsb	Farsb	FRS1	farsb
4177	arx-6	Arpc4	ARPC4	Arpc4	Arpc4	ARC19	arpc4
4178	arx-5	Arpc3A	ARPC3	Arpc3	Arpc3	ARC18	arpc3
4181	arx-2	Arp2	ACTR2	Actr2	Actr2	ARP2	actr2
4212	CELE_R02D3.1	LKR	AASS	Aass	Aass	LYS9	aass
4217	ZK1127.5	Rtc1	RCL1	Rcl1	Rcl1	RCL1	rcl1
4228	K09E4.2	l(2)not	ALG3	Alg3	Alg3	ALG3	alg3
4240	rpn-11	Rpn11	PSMD14	Psmd14	Psmd14	RPN11	psmd14
4252	hut-1	CG5802	SLC35B1	Slc35b1	Slc35b1	HUT1	slc35b1
4261	CELE_C23G10.2	UK114	HRSP12	Hrsp12	Hrsp12	HMF1	hrp12
4277	fce-1	ste24a	ZMPSTE24	Zmpste24	Zmpste24	STE24	zmpste24
4323	mcm-7	Mcm7	MCM7	Mcm7	Mcm7	MCM7	mcm7
4337	CELE_Y67H2A.7	CG7791	MIPEP	Mipep	Mipep	OCT1	mipep
4373	cct-3	Cctgamma	CCT3	Cct3	Cct3	CCT3	cct3
4378	isp-1	RFeSP	UQCRFS1	Uqcrfs1	Uqcrfs1	RIP1	uqcrfs1
4446	rack-1	Rack1	GNB2L1	Gnb2l1	Gnb2l1	ASC1	gnb2l1
4485	ned-8	Nedd8	NEDD8	Nedd8	Nedd8	RUB1	nedd8
4531	Y110A2AL.13	dod	PIN1	Pin1	Pin1	ESS1	pin1
4539	F33H2.5	DNApol-epsilon	POLE	Pole	Pole	POL2	pole
4550	pph-5	PpD3	PPP5C	Ppp5c	Ppp5c	PPT1	ppp5c
4551	aak-2	SNF1A	PRKAA2	Prkaa2	Prkaa2	SNF1	prkaa2
4587	vars-2	Aats-val	VARS	Vars	Vars	VAS1	vars
4597	him-1	SMC1	SMC1A	Smc1a	Smc1a	SMC1	LOC100493711
4617	CELE_Y39A1A.14	CG3527	EMG1	Emg1	Emg1	EMG1	emg1
4631	T09B4.9	CG11779	TIMM44	Timm44	Timm44	TIM44	timm44
4642	sec-23	sec23	SEC23A	Sec23a	Sec23a	SEC23	sec23a
4660	K07C5.4	Nop56	NOP56	Nop56	Nop56	NOP56	nop56
4662	atg-7	Atg7	ATG7	Atg7	Atg7	ATG7	atg7
4664	rnh-2	CG13690	RNASEH2A	Rnaseh2a	Rnaseh2a	RNH201	rnaseh2a
4681	sptl-1	Spt-I	SPTLC1	Sptlc1	Sptlc1	LCB1	sptlc1
4687	agef-1	sec71	ARFGEF1	Arfgef1	Arfgef1	SEC7	arfgef1
4694	cct-7	Tcp-1eta	CCT7	Cct7	Cct7	CCT7	cct7
4695	cct-4	CG5525	CCT4	Cct4	Cct4	CCT4	cct4
4696	cct-2	CG7033	CCT2	Cct2	Cct2	CCT2	cct2
4706	prp-8	Prp8	PRPF8	Prpf8	Prpf8	PRP8	prpf8
4711	Y53C12B.1	CG1671	TBL3	Tbl3	Tbl3	UTP13	tbl3
4722	W09C3.4	CG5380	POLR3F	Polr3f	Polr3f	RPC34	polr3f
4744	rpt-3	Rpt3	PSMC4	Psmc4	Psmc4	RPT3	psmc4
4751	sars-1	CG17259	SARS	Sars	Sars	SES1	sars
4760	gfl-1	Gas41	YEATS4	Yeats4	Yeats4	YAF9	yeats4
4771	nprl-2	CG9104	NPRL2	Nprl2	Nprl2	NPR2	nprl2
4778	ykt-6	Ykt6	YKT6	Ykt6	Ykt6	YKT6	ykt6
4788	fars-2	Aats-phe	FARS2	Fars2	Fars2	MSF1	fars2
4802	cct-8	CG8258	CCT8	Cct8	Cct8	CCT8	cct8
4856	ruvb-2	rept	RUVBL2	Ruvbl2	Ruvbl2	RVB2	ruvbl2
4904	mcm-5	Mcm5	MCM5	Mcm5	Mcm5	MCM5	mcm5
4916	Y24D9A.8	Tal	TALDO1	Taldo1	Taldo1	TAL1	taldo1
4926	EEED8.16	CG5555	BRAP	Brap	Brap	ETP1	brap
4937	F13H8.2	CG8064	WDR3	Wdr3	Wdr3	DIP2	wdr3
4944	prdx-3	Prx3	PRDX3	Prdx3	Prdx3	TSA2	prdx3
4947	spg-7	CG6512	AFG3L2	Afg3l2	Afg3l2	AFG3	afg3l2
4965	sti-1	Hop	STIP1	Stip1	Stip1	STI1	stip1
5016	COX1	COX1	COX1	COX1	COX1	COX1	COX1
5017	COX2	COX2	COX2	COX2	COX2	COX2	COX2
5035	idhb-1	CG6439	IDH3B	Idh3b	Idh3B	IDH1	idh3b
5064	taf-5	Taf5	TAF5	Taf5	Taf5	TAF5	taf5
5093	R05D11.4	CG5589	DDX52	Ddx52	Ddx52	ROK1	ddx52
5114	C05C8.2	dbe	KRR1	Krr1	Krr1	KRR1	krr1
5124	rpc-1	CG17209	POLR3A	Polr3a	Polr3a	RPO31	polr3a
5129	CELE_JC8.2	nclb	PWP1	Pwp1	Pwp1	PWP1	pwp1
5211	F09E5.8	CG1983	PROSC	Prosc	Prosc	YBL036C	prosc
5239	vps-22	lsn	SNF8	Snf8	Snf8	SNF8	snf8
5250	vps-45	Vps45	VPS45	Vps45	Vps45	VPS45	vps45
5263	phb-2	l(2)03709	PHB2	Phb2	Phb2	PHB2	phb2
5325	iars-1	Aats-ile	IARS	Iars	Iars	ILS1	iars
5343	ZK180.3	CG3149	RFT1	Rft1	Rft1	RFT1	rft1
5353	coq-1	qless	PDSS1	Pdss1	Pdss1	COQ1	pdss1
5356	pyp-1	Nurf-38	PPA1	Ppa1	Ppa1	IPP1	ppa2
5361	tag-210	CG1354	OLA1	Ola1	Ola1	OLA1	ola1
5362	mecr-1	CG16935	MECR	Mecr	Mecr	ETR1	mecr
5364	F57B9.1	CG31472	PNPO	Pnpo	Pnpo	PDX3	pnpo
5429	T04B8.5	CG10413	SLC12A9	Slc12a9	Slc12a9	VHC1	LOC100498108
5431	F45F2.9	CG11050	HDDC2	Hddc2	Hddc2	YBR242W	hddc2
5436	sedl-1	l(3)72Dh	TRAPPC2	Trappc2	Trappc2	TRS20	trappc2
5439	homt-1	Ntmt	NTMT1	Ntmt1	Ntmt1	TAE1	ntmt1
5467	pgs-1	CG7718	PGS1	Pgs1	Pgs1	PGS1	pgs1
5468	rer-1	CG11857	RER1	Rer1	Rer1	RER1	rer1
5482	F07A11.5	CG13369	RBKS	Rbks	Rbks	RBK1	rbks
5486	C27F2.4	CG10903	WBSCR22	Wbscr22	Wbscr22	BUD23	wbscr22
5494	W07E6.2	Nle	NLE1	Nle1	Nle1	RSA4	nle1
5518	pqn-68	CG18643	DTD1	Dtd1	Dtd1	DTD1	dtd1
5524	Y48A6B.3	NHP2	NHP2	Nhp2	LOC100910210	NHP2	nhp2
5534	CELE_F54D5.12	CG3835	D2HGDH	D2hgdh	D2hgdh	DLD2	d2hgdh
5540	E02H1.6	Ak6	AK6	Ak6	Ak6	FAP7	taf9
5578	tag-335	CG1129	GMPPB	Gmppb	Gmppb	PSA1	gmppb
5589	B0035.16	CG3021	TRMU	Trmu	Trmu	SLM3	trmu
5590	Y94H6A.5	CG32344	DDX54	Ddx54	Ddx54	DBP10	ddx54
5607	F09F7.4	CG5044	HIBCH	Hibch	Hibch	EHD3	hibch
5610	Y77E11A.6	CG33785	POLR3K	Polr3k	Polr3k	RPC11	polr3k
5632	trm-1	CG6388	TRMT1	Trmt1	Trmt1	TRM1	trmt1
5650	F43D9.3	Slh	SCFD1	Scfd1	Scfd1	SLY1	scfd1
5652	T05G5.5	Dpck	DCAKD	Dcakd	Dcakd	CAB5	dcakd
5656	cct-1	T-cp1	TCP1	Tcp1	Tcp1	TCP1	tcp1
5664	Y25C1A.5	betaCop	COPB1	Copb1	Copb1	SEC26	copb1
5673	prx-10	CG7441	WARS2	Wars2	Wars2	MSW1	wars2
5675	ZK1010.2	CG11679	RMND1	Rmnd1	Rmnd1	YDR282C	rmnd1
5706	F30A10.9	Bka	FCF1	Fcf1	Fcf1	FCF1	fcf1
5754	CELE_Y57A10A.16	CG10153	TRAPPC5	Trappc5	Trappc5	TRS31	trappc5
5757	F41E6.9	CG6259	CHMP5	Chmp5	Chmp5	VPS60	chmp5
5782	C30F12.2	CG8520	LACE1	Lace1	Lace1	AFG1	lace1
5783	vha-14	Vha36-1	ATP6V1D	Atp6v1d	Atp6v1d	VMA8	atp6v1d
5791	CELE_C10C6.6	CG6230	ATP13A1	Atp13a1	Atp13a1	SPF1	atp13a1
5794	CELE_B0334.3	CG11208	HACL1	Hacl1	Hacl1	YEL020C	hacl1
5799	nstp-2	Efr	SLC35B4	Slc35b4	Slc35b4	YEA4	slc35b4
5803	C11D2.7	CG5941	MCTS1	Mcts1	Mcts1	TMA20	mcts1
5830	pars-2	Aats-pro	PARS2	Pars2	Pars2	AIM10	pars2
5844	CELE_W09C5.1	Ip259	NSA2	Nsa2	Nsa2	NSA2	nsa2
5848	T06D8.5	CG3803	COX15	Cox15	Cox15	COX15	LOC100486044
5853	C27H6.8	CG11980	C12orf10	Myg1	Myg1	YER156C	c12orf10
5859	snrp-200	l(3)72Ab	SNRNP200	Snrnp200	Snrnp200	BRR2	snrnp200
5887	gcn-1	CG17514	GCN1L1	Gcn1l1	Gcn1l1	GCN1	gcn1l1
5894	xrn-1	pcm	XRN1	Xrn1	Xrn1	XRN1	xrn1
5905	W03F8.3	CG5705	MTRF1L	Mtrf1l	Mtrf1l	MRF1	mtrf1l
5907	F45G2.9	CG11447	FTSJ2	Ftsj2	Ftsj2	MRM2	ftsj2
5917	C53H9.2	ns3	LSG1	Lsg1	Lsg1	LSG1	lsg1
5930	F09E5.2	CG1291	ALG2	Alg2	Alg2	ALG2	alg2
5931	pus-1	CG4159	PUS1	Pus1	Pus1	PUS1	pus1
5952	CELE_M142.8	CG9154	N6AMT2	N6amt2	N6amt2	YGR001C	n6amt2
5969	E04D5.1	CG7414	EIF2A	Eif2a	Eif2a	YGR054W	eif2a
5982	hpo-12	Tpc1	SLC25A19	Slc25a19	Slc25a19	TPC1	slc25a19
5984	lpd-7	CG4364	PES1	Pes1	Pes1	NOP7	pes1
5998	nol-10	l(2)34Fd	NOL10	Nol10	Nol10	ENP2	nol10
6017	exos-4.1	Ski6	EXOSC4	Exosc4	Exosc4	SKI6	exosc4
6039	coq-6	CG7277	COQ6	Coq6	Coq6	COQ6	coq6
6052	sft-4	Surf4	SURF4	Surf4	Surf4	ERV29	surf4.2
6073	sars-2	Aats-ser	SARS2	Sars2	Sars2	DIA4	sars2
6078	mppa-1	CG8728	PMPCA	Pmpca	Pmpca	MAS2	pmpca
6081	alh-6	P5CDh1	ALDH4A1	Aldh4a1	Aldh4a1	PUT2	aldh4a1
6092	CELE_T26G10.1	CG9253	DDX47	Ddx47	Ddx47	RRP3	ddx47
6095	exos-2	Rrp4	EXOSC2	Exosc2	Exosc2	RRP4	exosc2
6096	C53A5.17	CG32281	TRMT5	Trmt5	Trmt5	TRM5	trmt5
6099	B0464.9	CG5068	PPME1	Ppme1	Ppme1	PPE1	ppme1
6100	W09D10.4	CG12091	PPTC7	Pptc7	Pptc7	PTC7	pptc7
6108	moc-3	CG13090	MOCS3	Mocs3	Mocs3	UBA4	LOC100491723
6115	F45G2.10	CG7949	FAM96B	Fam96b	Fam96b	CIA2	fam96b
6120	C48B6.2	CG4866	IMP3	Imp3	Imp3	IMP3	imp3
6127	T25G3.3	Nmd3	NMD3	Nmd3	Nmd3	NMD3	nmd3
6149	Y71H2AM.20	Ptpa	PPP2R4	Ppp2r4	Ppp2r4	RRD2	ppp2r4
6151	K01C8.7	CG8026	SLC25A32	Slc25a32	Slc25a32	FLX1	slc25a32
6173	Y71H2AM.6	Ppcs	PPCS	Ppcs	Ppcs	CAB2	ppcs
6175	F29B9.1	CG9643	METTL10	Mettl10	Mettl10	SEE1	LOC100498530
6222	inos-1	Inos	ISYNA1	Isyna1	Isyna1	INO1	isyna1
6229	CELE_W02A11.1	CG14544	TRMT61A	Trmt61a	Trmt61a	GCD14	trmt61a
6238	Y119D3B.14	EF-G2	GFM2	Gfm2	Gfm2	MEF2	gfm2
6257	mtr-4	l(2)35Df	SKIV2L2	Skiv2l2	Skiv2l2	MTR4	skiv2l2
