OG	Human	Species	Human_gene	Gene
76	H. sapiens	D. melanogaster	CPOX	Coprox
77	H. sapiens	X. laevis	CPT2	cpt2
77	H. sapiens	S. cerevisiae	CPT2	YAT1
77	H. sapiens	C. elegans	CPT2	cpt-2
77	H. sapiens	R. norvegicus	CPT2	Cpt2
77	H. sapiens	M. musculus	CPT2	Cpt2
77	H. sapiens	D. melanogaster	CPT2	CG2107
78	H. sapiens	X. laevis	CST3	LOC100485774
78	H. sapiens	M. musculus	CST3	Cst3
78	H. sapiens	R. norvegicus	CST3	Cst3
79	H. sapiens	M. musculus	CSTB	Cstb
79	H. sapiens	R. norvegicus	CSTB	Cstb
80	H. sapiens	M. musculus	CYBA	Cyba
80	H. sapiens	R. norvegicus	CYBA	Cyba
80	H. sapiens	X. laevis	CYBA	cyba
83	H. sapiens	M. musculus	DDB2	Ddb2
83	H. sapiens	R. norvegicus	DDB2	Ddb2
83	H. sapiens	X. laevis	DDB2	ddb2
84	H. sapiens	D. melanogaster	DLD	CG7430
84	H. sapiens	R. norvegicus	DLD	Dld
84	H. sapiens	S. cerevisiae	DLD	LPD1
84	H. sapiens	X. laevis	DLD	dld
84	H. sapiens	M. musculus	DLD	Dld
84	H. sapiens	C. elegans	DLD	dld-1
85	H. sapiens	X. laevis	DPYD	dpyd
85	H. sapiens	M. musculus	DPYD	Dpyd
85	H. sapiens	C. elegans	DPYD	dpyd-1
85	H. sapiens	R. norvegicus	DPYD	Dpyd
85	H. sapiens	D. melanogaster	DPYD	su(r)
88	H. sapiens	R. norvegicus	EDN3	Edn3
88	H. sapiens	M. musculus	EDN3	Edn3
89	H. sapiens	R. norvegicus	EDNRB	Ednrb
89	H. sapiens	X. laevis	EDNRB	ednrb
89	H. sapiens	M. musculus	EDNRB	Ednrb
91	H. sapiens	R. norvegicus	EMD	Emd
91	H. sapiens	M. musculus	EMD	Emd
92	H. sapiens	R. norvegicus	ENG	Eng
92	H. sapiens	X. laevis	ENG	eng
92	H. sapiens	M. musculus	ENG	Eng
93	H. sapiens	R. norvegicus	EPB42	Epb42
93	H. sapiens	M. musculus	EPB42	Epb4.2
93	H. sapiens	X. laevis	EPB42	epb42
94	H. sapiens	C. elegans	EPHX1	W01A11.1
94	H. sapiens	R. norvegicus	EPHX1	Ephx1
94	H. sapiens	D. melanogaster	EPHX1	Jheh2
94	H. sapiens	X. laevis	EPHX1	ephx1
94	H. sapiens	M. musculus	EPHX1	Ephx1
95	H. sapiens	M. musculus	EPOR	Epor
95	H. sapiens	R. norvegicus	EPOR	Epor
96	H. sapiens	S. cerevisiae	ERCC3	SSL2
96	H. sapiens	R. norvegicus	ERCC3	Ercc3
96	H. sapiens	C. elegans	ERCC3	Y66D12A.15
96	H. sapiens	X. laevis	ERCC3	ercc3
96	H. sapiens	D. melanogaster	ERCC3	hay
96	H. sapiens	M. musculus	ERCC3	Ercc3
100	H. sapiens	S. cerevisiae	ETFA	AIM45
100	H. sapiens	R. norvegicus	ETFA	Etfa
100	H. sapiens	C. elegans	ETFA	CELE_F27D4.1
100	H. sapiens	X. laevis	ETFA	etfa
100	H. sapiens	M. musculus	ETFA	Etfa
100	H. sapiens	D. melanogaster	ETFA	wal
104	H. sapiens	R. norvegicus	F5	F5
104	H. sapiens	M. musculus	F5	F5
104	H. sapiens	X. laevis	F5	f5
106	H. sapiens	R. norvegicus	F9	F9
106	H. sapiens	X. laevis	F9	f9
106	H. sapiens	M. musculus	F9	F9
107	H. sapiens	M. musculus	FABP2	Fabp2
107	H. sapiens	X. laevis	FABP2	fabp2
107	H. sapiens	R. norvegicus	FABP2	Fabp2
108	H. sapiens	M. musculus	FANCA	Fanca
108	H. sapiens	X. laevis	FANCA	fanca
108	H. sapiens	R. norvegicus	FANCA	Fanca
109	H. sapiens	R. norvegicus	FANCC	Fancc
109	H. sapiens	M. musculus	FANCC	Fancc
109	H. sapiens	X. laevis	FANCC	fancc
110	H. sapiens	M. musculus	FAH	Fah
110	H. sapiens	X. laevis	FAH	fah
110	H. sapiens	D. melanogaster	FAH	Faa
110	H. sapiens	R. norvegicus	FAH	Fah
110	H. sapiens	C. elegans	FAH	fah-1
112	H. sapiens	R. norvegicus	MS4A2	Ms4a2
112	H. sapiens	M. musculus	MS4A2	Ms4a2
113	H. sapiens	X. laevis	FECH	fech
113	H. sapiens	S. cerevisiae	FECH	HEM15
113	H. sapiens	R. norvegicus	FECH	Fech
113	H. sapiens	M. musculus	FECH	Fech
113	H. sapiens	D. melanogaster	FECH	ferrochelatase
115	H. sapiens	R. norvegicus	FH	Fh
115	H. sapiens	X. laevis	FH	LOC100491219
115	H. sapiens	M. musculus	FH	Fh1
115	H. sapiens	C. elegans	FH	fum-1
115	H. sapiens	S. cerevisiae	FH	FUM1
115	H. sapiens	D. melanogaster	FH	l(1)G0255
117	H. sapiens	M. musculus	FSHR	Fshr
117	H. sapiens	R. norvegicus	FSHR	Fshr
117	H. sapiens	X. laevis	FSHR	fshr
119	H. sapiens	R. norvegicus	FUCA2	Fuca2
119	H. sapiens	D. melanogaster	FUCA2	Fuca
119	H. sapiens	X. laevis	FUCA2	fuca2
119	H. sapiens	C. elegans	FUCA2	W03G11.3
119	H. sapiens	M. musculus	FUCA2	Fuca2
120	H. sapiens	R. norvegicus	FUT1	Fut1
120	H. sapiens	X. laevis	FUT1	fut1
120	H. sapiens	M. musculus	FUT1	Fut1
124	H. sapiens	X. laevis	GALC	galc
124	H. sapiens	C. elegans	GALC	CELE_C29E4.10
124	H. sapiens	M. musculus	GALC	Galc
124	H. sapiens	R. norvegicus	GALC	Galc
125	H. sapiens	M. musculus	GALK1	Galk1
125	H. sapiens	X. laevis	GALK1	galk1
125	H. sapiens	R. norvegicus	GALK1	Galk1
126	H. sapiens	D. melanogaster	GALT	Galt
126	H. sapiens	S. cerevisiae	GALT	GAL7
126	H. sapiens	C. elegans	GALT	ZK1058.3
126	H. sapiens	M. musculus	GALT	Galt
126	H. sapiens	X. laevis	GALT	galt
126	H. sapiens	R. norvegicus	GALT	Galt
129	H. sapiens	C. elegans	GBE1	CELE_T04A8.7
129	H. sapiens	X. laevis	GBE1	gbe1
129	H. sapiens	R. norvegicus	GBE1	Gbe1
129	H. sapiens	M. musculus	GBE1	Gbe1
129	H. sapiens	D. melanogaster	GBE1	CG33138
129	H. sapiens	S. cerevisiae	GBE1	GLC3
130	H. sapiens	C. elegans	GCDH	CELE_F54D5.7
130	H. sapiens	R. norvegicus	GCDH	Gcdh
130	H. sapiens	M. musculus	GCDH	Gcdh
130	H. sapiens	X. laevis	GCDH	gcdh
130	H. sapiens	D. melanogaster	GCDH	CG9547
131	H. sapiens	M. musculus	GCGR	Gcgr
131	H. sapiens	X. laevis	GCGR	gcgr
131	H. sapiens	R. norvegicus	GCGR	Gcgr
132	H. sapiens	C. elegans	GCH1	cat-4
132	H. sapiens	R. norvegicus	GCH1	Gch1
132	H. sapiens	S. cerevisiae	GCH1	FOL2
132	H. sapiens	X. laevis	GCH1	gch1
132	H. sapiens	M. musculus	GCH1	Gch1
132	H. sapiens	D. melanogaster	GCH1	Pu
134	H. sapiens	M. musculus	GHR	Ghr
134	H. sapiens	R. norvegicus	GHR	Ghr
134	H. sapiens	X. laevis	GHR	ghr
136	H. sapiens	M. musculus	GJA1	Gja1
136	H. sapiens	R. norvegicus	GJA1	Gja1
136	H. sapiens	X. laevis	GJA1	gja1
137	H. sapiens	R. norvegicus	GJB1	Gjb1
137	H. sapiens	X. laevis	GJB1	gjb1
137	H. sapiens	M. musculus	GJB1	Gjb1
139	H. sapiens	R. norvegicus	GLI3	Gli3
139	H. sapiens	M. musculus	GLI3	Gli3
139	H. sapiens	X. laevis	GLI3	gli3
141	H. sapiens	R. norvegicus	GLDC	Gldc
141	H. sapiens	D. melanogaster	GLDC	CG3999
141	H. sapiens	C. elegans	GLDC	R12C12.1
141	H. sapiens	X. laevis	GLDC	gldc
141	H. sapiens	S. cerevisiae	GLDC	GCV2
141	H. sapiens	M. musculus	GLDC	Gldc
142	H. sapiens	C. elegans	GLRA3	glc-2
142	H. sapiens	X. laevis	GLRA3	glra3
142	H. sapiens	R. norvegicus	GLRA3	Glra3
142	H. sapiens	M. musculus	GLRA3	Glra3
143	H. sapiens	M. musculus	GP1BA	Gp1ba
143	H. sapiens	R. norvegicus	GP1BA	Gp1ba
144	H. sapiens	M. musculus	GP9	Gp9
144	H. sapiens	R. norvegicus	GP9	Gp9
145	H. sapiens	D. melanogaster	GPI	Pgi
145	H. sapiens	C. elegans	GPI	gpi-1
145	H. sapiens	X. laevis	GPI	gpi
145	H. sapiens	M. musculus	GPI	Gpi1
145	H. sapiens	S. cerevisiae	GPI	PGI1
145	H. sapiens	R. norvegicus	GPI	Gpi
147	H. sapiens	R. norvegicus	GSN	Gsn
147	H. sapiens	M. musculus	GSN	Gsn
147	H. sapiens	X. laevis	GSN	gsn
149	H. sapiens	S. cerevisiae	MSH6	MSH6
149	H. sapiens	R. norvegicus	MSH6	LOC100360342
149	H. sapiens	D. melanogaster	MSH6	Msh6
149	H. sapiens	C. elegans	MSH6	msh-6
149	H. sapiens	M. musculus	MSH6	Msh6
149	H. sapiens	X. laevis	MSH6	msh6
153	H. sapiens	D. melanogaster	HADHB	Thiolase
153	H. sapiens	X. laevis	HADHB	hadhb
153	H. sapiens	C. elegans	HADHB	B0303.3
153	H. sapiens	M. musculus	HADHB	Hadhb
153	H. sapiens	R. norvegicus	HADHB	Hadhb
156	H. sapiens	X. laevis	HGD	hgd
156	H. sapiens	D. melanogaster	HGD	hgo
156	H. sapiens	R. norvegicus	HGD	Hgd
156	H. sapiens	M. musculus	HGD	Hgd
156	H. sapiens	C. elegans	HGD	hgo-1
158	H. sapiens	R. norvegicus	HMBS	Hmbs
158	H. sapiens	D. melanogaster	HMBS	l(3)02640
158	H. sapiens	X. laevis	HMBS	hmbs
158	H. sapiens	S. cerevisiae	HMBS	HEM3
158	H. sapiens	M. musculus	HMBS	Hmbs
159	H. sapiens	D. melanogaster	HMGCL	CG10399
159	H. sapiens	M. musculus	HMGCL	Hmgcl
159	H. sapiens	X. laevis	HMGCL	LOC100494904
159	H. sapiens	C. elegans	HMGCL	Y71G12B.10
159	H. sapiens	R. norvegicus	HMGCL	Hmgcl
160	H. sapiens	X. laevis	TBX5	tbx5
160	H. sapiens	M. musculus	TBX5	Tbx5
160	H. sapiens	R. norvegicus	TBX5	Tbx5
163	H. sapiens	X. laevis	HPS1	hps1
163	H. sapiens	M. musculus	HPS1	Hps1
163	H. sapiens	R. norvegicus	HPS1	Hps1
167	H. sapiens	X. laevis	SGSH	sgsh
167	H. sapiens	M. musculus	SGSH	Sgsh
167	H. sapiens	D. melanogaster	SGSH	CG14291
168	H. sapiens	R. norvegicus	ICAM1	Icam1
168	H. sapiens	M. musculus	ICAM1	Icam1
169	H. sapiens	R. norvegicus	IDS	Ids
169	H. sapiens	X. laevis	IDS	ids
169	H. sapiens	D. melanogaster	IDS	CG12014
169	H. sapiens	M. musculus	IDS	Ids
170	H. sapiens	R. norvegicus	IDUA	Idua
170	H. sapiens	M. musculus	IDUA	Idua
170	H. sapiens	X. laevis	IDUA	idua
170	H. sapiens	D. melanogaster	IDUA	CG6201
171	H. sapiens	X. laevis	CFI	cfi
171	H. sapiens	R. norvegicus	CFI	Cfi
171	H. sapiens	M. musculus	CFI	Cfi
172	H. sapiens	R. norvegicus	IL2RG	Il2rg
172	H. sapiens	M. musculus	IL2RG	Il2rg
172	H. sapiens	X. laevis	IL2RG	LOC100492995
173	H. sapiens	R. norvegicus	INS	Ins2
173	H. sapiens	X. laevis	INS	ins
173	H. sapiens	M. musculus	INS	Ins2
175	H. sapiens	M. musculus	PDX1	Pdx1
175	H. sapiens	R. norvegicus	PDX1	Pdx1
175	H. sapiens	X. laevis	PDX1	pdx1
179	H. sapiens	M. musculus	ITGB4	Itgb4
179	H. sapiens	R. norvegicus	ITGB4	Itgb4
179	H. sapiens	X. laevis	ITGB4	itgb4
180	H. sapiens	D. melanogaster	JAG1	Ser
180	H. sapiens	M. musculus	JAG1	Jag1
180	H. sapiens	X. laevis	JAG1	jag1
180	H. sapiens	R. norvegicus	JAG1	Jag1
181	H. sapiens	X. laevis	JAK3	jak3
181	H. sapiens	R. norvegicus	JAK3	Jak3
181	H. sapiens	M. musculus	JAK3	Jak3
183	H. sapiens	R. norvegicus	KCNA1	Kcna1
183	H. sapiens	M. musculus	KCNA1	Kcna1
183	H. sapiens	X. laevis	KCNA1	LOC100492822
185	H. sapiens	X. laevis	LOC102723475	kcne1
185	H. sapiens	R. norvegicus	LOC102723475	Kcne1
185	H. sapiens	M. musculus	LOC102723475	Kcne1
187	H. sapiens	X. laevis	KIT	kit
187	H. sapiens	M. musculus	KIT	Kit
187	H. sapiens	R. norvegicus	KIT	Kit
188	H. sapiens	X. laevis	KRT12	LOC100486967
188	H. sapiens	R. norvegicus	KRT12	Krt12
188	H. sapiens	M. musculus	KRT12	Krt12
191	H. sapiens	R. norvegicus	LAMB3	Lamb3
191	H. sapiens	M. musculus	LAMB3	Lamb3
191	H. sapiens	X. laevis	LAMB3	lamb3
193	H. sapiens	M. musculus	LEP	Lep
193	H. sapiens	X. laevis	LEP	LOC100486715
193	H. sapiens	R. norvegicus	LEP	Lep
194	H. sapiens	X. laevis	SGCG	sgcg
194	H. sapiens	R. norvegicus	SGCG	Sgcg
194	H. sapiens	M. musculus	SGCG	Sgcg
195	H. sapiens	R. norvegicus	SGCB	Sgcb
195	H. sapiens	M. musculus	SGCB	Sgcb
195	H. sapiens	X. laevis	SGCB	sgcb
199	H. sapiens	R. norvegicus	LIPC	Lipc
199	H. sapiens	X. laevis	LIPC	lipc
199	H. sapiens	M. musculus	LIPC	Lipc
200	H. sapiens	X. laevis	LPL	lpl
200	H. sapiens	M. musculus	LPL	Lpl
200	H. sapiens	R. norvegicus	LPL	Lpl
201	H. sapiens	R. norvegicus	KCNH2	Kcnh2
201	H. sapiens	M. musculus	KCNH2	Kcnh2
203	H. sapiens	M. musculus	MAOA	Maoa
203	H. sapiens	X. laevis	MAOA	LOC100495198
203	H. sapiens	R. norvegicus	MAOA	Maoa
206	H. sapiens	M. musculus	MET	Met
206	H. sapiens	X. laevis	MET	met
206	H. sapiens	R. norvegicus	MET	Met
207	H. sapiens	R. norvegicus	CIITA	Ciita
207	H. sapiens	X. laevis	CIITA	ciita
207	H. sapiens	M. musculus	CIITA	Ciita
208	H. sapiens	D. melanogaster	MLH1	Mlh1
208	H. sapiens	X. laevis	MLH1	mlh1
208	H. sapiens	M. musculus	MLH1	Mlh1
208	H. sapiens	S. cerevisiae	MLH1	MLH1
208	H. sapiens	R. norvegicus	MLH1	Mlh1
210	H. sapiens	M. musculus	MSH2	Msh2
210	H. sapiens	D. melanogaster	MSH2	spel1
210	H. sapiens	R. norvegicus	MSH2	Msh2
210	H. sapiens	S. cerevisiae	MSH2	MSH2
210	H. sapiens	X. laevis	MSH2	msh2
212	H. sapiens	X. laevis	MTTP	LOC100487453
212	H. sapiens	R. norvegicus	MTTP	Mttp
212	H. sapiens	M. musculus	MTTP	Mttp
212	H. sapiens	D. melanogaster	MTTP	Mtp
215	H. sapiens	X. laevis	MYBPC3	mybpc3
215	H. sapiens	R. norvegicus	MYBPC3	Mybpc3
215	H. sapiens	M. musculus	MYBPC3	Mybpc3
219	H. sapiens	M. musculus	MYO7A	Myo7a
219	H. sapiens	R. norvegicus	MYO7A	Myo7a
219	H. sapiens	D. melanogaster	MYO7A	ck
219	H. sapiens	X. laevis	MYO7A	myo7a
220	H. sapiens	X. laevis	MYOC	myoc
220	H. sapiens	R. norvegicus	MYOC	Myoc
220	H. sapiens	M. musculus	MYOC	Myoc
221	H. sapiens	X. laevis	NAGA	naga
221	H. sapiens	C. elegans	NAGA	gana-1
221	H. sapiens	M. musculus	NAGA	Naga
221	H. sapiens	D. melanogaster	NAGA	CG5731
221	H. sapiens	R. norvegicus	NAGA	Naga
222	H. sapiens	M. musculus	NAGLU	Naglu
222	H. sapiens	D. melanogaster	NAGLU	CG13397
222	H. sapiens	R. norvegicus	NAGLU	Naglu
222	H. sapiens	X. laevis	NAGLU	naglu
225	H. sapiens	X. laevis	NDP	ndp
225	H. sapiens	M. musculus	NDP	Ndp
226	H. sapiens	X. laevis	NF1	nf1
226	H. sapiens	M. musculus	NF1	Nf1
226	H. sapiens	R. norvegicus	NF1	Nf1
226	H. sapiens	D. melanogaster	NF1	Nf1
228	H. sapiens	M. musculus	NPC1	Npc1
228	H. sapiens	R. norvegicus	NPC1	Npc1
228	H. sapiens	D. melanogaster	NPC1	Npc1a
228	H. sapiens	S. cerevisiae	NPC1	NCR1
228	H. sapiens	X. laevis	NPC1	npc1
229	H. sapiens	M. musculus	NPHP1	Nphp1
229	H. sapiens	X. laevis	NPHP1	nphp1
229	H. sapiens	R. norvegicus	NPHP1	Nphp1
230	H. sapiens	R. norvegicus	GPR143	Gpr143
230	H. sapiens	X. laevis	GPR143	gpr143
230	H. sapiens	M. musculus	GPR143	Gpr143
231	H. sapiens	R. norvegicus	OAT	Oat
231	H. sapiens	S. cerevisiae	OAT	CAR2
231	H. sapiens	D. melanogaster	OAT	Oat
231	H. sapiens	X. laevis	OAT	oat.1
231	H. sapiens	C. elegans	OAT	C16A3.10
231	H. sapiens	M. musculus	OAT	Oat
233	H. sapiens	M. musculus	OCRL	Ocrl
233	H. sapiens	R. norvegicus	OCRL	Ocrl
233	H. sapiens	X. laevis	OCRL	ocrl
233	H. sapiens	D. melanogaster	OCRL	Ocrl
234	H. sapiens	C. elegans	PAH	pah-1
234	H. sapiens	D. melanogaster	PAH	Hn
234	H. sapiens	X. laevis	PAH	pah
234	H. sapiens	M. musculus	PAH	Pah
234	H. sapiens	R. norvegicus	PAH	Pah
236	H. sapiens	R. norvegicus	PCCA	Pcca
236	H. sapiens	C. elegans	PCCA	pcca-1
236	H. sapiens	M. musculus	PCCA	Pcca
236	H. sapiens	X. laevis	PCCA	pcca
237	H. sapiens	M. musculus	PDE6B	Pde6b
237	H. sapiens	R. norvegicus	PDE6B	Pde6b
237	H. sapiens	X. laevis	PDE6B	LOC100487945
239	H. sapiens	R. norvegicus	PEPD	Pepd
239	H. sapiens	X. laevis	PEPD	pepd
239	H. sapiens	M. musculus	PEPD	Pepd
239	H. sapiens	D. melanogaster	PEPD	Dip-C
239	H. sapiens	C. elegans	PEPD	K12C11.1
242	H. sapiens	D. melanogaster	PEX7	Pex7
242	H. sapiens	X. laevis	PEX7	pex7
242	H. sapiens	R. norvegicus	PEX7	Pex7
242	H. sapiens	M. musculus	PEX7	Pex7
246	H. sapiens	D. melanogaster	PHKA2	CG7766
246	H. sapiens	X. laevis	PHKA2	phka2
246	H. sapiens	C. elegans	PHKA2	C14B9.8
246	H. sapiens	M. musculus	PHKA2	Phka2
246	H. sapiens	R. norvegicus	PHKA2	Phka2
247	H. sapiens	M. musculus	PHKB	Phkb
247	H. sapiens	D. melanogaster	PHKB	CG8475
247	H. sapiens	X. laevis	PHKB	phkb
247	H. sapiens	C. elegans	PHKB	Y67D8A.2
247	H. sapiens	R. norvegicus	PHKB	Phkb
250	H. sapiens	X. laevis	PKD1	pkd1
250	H. sapiens	R. norvegicus	PKD1	Pkd1
250	H. sapiens	M. musculus	PKD1	Pkd1
253	H. sapiens	R. norvegicus	PKP1	Pkp1
253	H. sapiens	X. laevis	PKP1	pkp1
253	H. sapiens	M. musculus	PKP1	Pkp1
254	H. sapiens	R. norvegicus	PLA2G2A	Pla2g2a
256	H. sapiens	M. musculus	PLOD1	Plod1
256	H. sapiens	X. laevis	PLOD1	plod1
256	H. sapiens	R. norvegicus	PLOD1	Plod1
257	H. sapiens	D. melanogaster	PMM2	CG10688
257	H. sapiens	C. elegans	PMM2	CELE_F52B11.2
257	H. sapiens	R. norvegicus	PMM2	Pmm2
257	H. sapiens	S. cerevisiae	PMM2	SEC53
257	H. sapiens	X. laevis	PMM2	pmm1
257	H. sapiens	M. musculus	PMM2	Pmm2
259	H. sapiens	X. laevis	POU1F1	pou1f1
259	H. sapiens	M. musculus	POU1F1	Pou1f1
259	H. sapiens	R. norvegicus	POU1F1	Pou1f1
260	H. sapiens	X. laevis	POU3F4	pou3f4
260	H. sapiens	R. norvegicus	POU3F4	Pou3f4
260	H. sapiens	M. musculus	POU3F4	Pou3f4
262	H. sapiens	M. musculus	PPOX	Ppox
262	H. sapiens	X. laevis	PPOX	ppox
262	H. sapiens	D. melanogaster	PPOX	Ppox
262	H. sapiens	S. cerevisiae	PPOX	HEM14
262	H. sapiens	R. norvegicus	PPOX	Ppox
264	H. sapiens	M. musculus	PROS1	Pros1
264	H. sapiens	X. laevis	PROS1	pros1
264	H. sapiens	R. norvegicus	PROS1	Pros1
265	H. sapiens	X. laevis	PTEN	pten
265	H. sapiens	R. norvegicus	PTEN	Pten
265	H. sapiens	D. melanogaster	PTEN	Pten
265	H. sapiens	M. musculus	PTEN	Pten
266	H. sapiens	R. norvegicus	PTH	Pth
266	H. sapiens	M. musculus	PTH	Pth
267	H. sapiens	R. norvegicus	PTH1R	Pth1r
267	H. sapiens	M. musculus	PTH1R	Pth1r
267	H. sapiens	X. laevis	PTH1R	LOC100492020
268	H. sapiens	D. melanogaster	PTS	pr
268	H. sapiens	X. laevis	PTS	LOC100487259
268	H. sapiens	M. musculus	PTS	Pts
268	H. sapiens	C. elegans	PTS	ptps-1
268	H. sapiens	R. norvegicus	PTS	Pts
269	H. sapiens	D. melanogaster	PEX2	Pex2
269	H. sapiens	R. norvegicus	PEX2	Pex2
269	H. sapiens	X. laevis	PEX2	pex2
269	H. sapiens	M. musculus	PEX2	Pex2
270	H. sapiens	R. norvegicus	PEX5	Pex5
270	H. sapiens	D. melanogaster	PEX5	Pex5
270	H. sapiens	M. musculus	PEX5	Pex5
270	H. sapiens	C. elegans	PEX5	prx-5
